contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM250919P00125000,2024-10-30 16:29:04+00:00,125.0,13.7,11.05,11.35,0.0,0.0,136.0,186.0,0.2035296932983398,True,REGULAR,USD,2025-09-19
XOM250919P00130000,2024-10-15 17:08:24+00:00,130.0,14.55,13.4,14.35,0.0,0.0,3.0,31.0,0.1986164123535156,True,REGULAR,USD,2025-09-19
XOM250919P00135000,2024-10-31 14:17:31+00:00,135.0,19.8,17.35,18.25,0.0,0.0,75.0,64.0,0.20636779968261715,True,REGULAR,USD,2025-09-19
XOM250919P00140000,2024-10-31 17:25:34+00:00,140.0,24.8,20.8,21.5,0.0,0.0,1.0,3.0,0.1886677813720703,True,REGULAR,USD,2025-09-19
XOM250919P00145000,2024-10-30 16:27:11+00:00,145.0,29.1,24.85,25.6,0.0,0.0,1.0,2.0,0.1844563977050781,True,REGULAR,USD,2025-09-19
XOM250919P00150000,2024-10-08 14:43:14+00:00,150.0,29.05,0.0,0.0,0.0,0.0,2.0,4.0,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
XOM250919P00155000,2024-10-03 19:00:00+00:00,155.0,33.75,38.55,43.0,0.0,0.0,,2.0,0.43530838134765626,True,REGULAR,USD,2025-09-19
XOM250919P00185000,2024-11-01 17:36:59+00:00,185.0,69.8,63.05,66.1,0.0,0.0,1.0,1.0,0.3512638116455078,True,REGULAR,USD,2025-09-19
XOM251219P00050000,2024-09-19 17:41:01+00:00,50.0,0.14,0.0,0.26,0.0,0.0,1.0,47.0,0.41260353027343744,False,REGULAR,USD,2025-12-19
XOM251219P00055000,2024-11-06 18:43:15+00:00,55.0,0.15,0.04,0.36,0.0,0.0,2.0,1477.0,0.3920959228515625,False,REGULAR,USD,2025-12-19
XOM251219P00060000,2024-10-17 15:02:24+00:00,60.0,0.26,0.06,0.48,0.0,0.0,3.0,92.0,0.37134417724609375,False,REGULAR,USD,2025-12-19
XOM251219P00065000,2024-11-08 18:24:25+00:00,65.0,0.3,0.14,0.83,-0.26,-46.42857,1.0,272.0,0.372076591796875,False,REGULAR,USD,2025-12-19
XOM251219P00070000,2024-11-05 18:47:30+00:00,70.0,0.66,0.17,0.87,0.0,0.0,1.0,1853.0,0.33740896972656254,False,REGULAR,USD,2025-12-19
XOM251219P00075000,2024-11-08 16:34:32+00:00,75.0,0.7,0.6,0.95,-0.100000024,-12.500002,2.0,2006.0,0.30762411132812495,False,REGULAR,USD,2025-12-19
XOM251219P00080000,2024-11-06 15:34:58+00:00,80.0,1.0,0.85,0.99,0.0,0.0,10.0,490.0,0.2758861474609374,False,REGULAR,USD,2025-12-19
XOM251219P00085000,2024-10-29 15:08:25+00:00,85.0,1.66,1.28,1.4,0.0,0.0,1.0,363.0,0.2659985510253906,False,REGULAR,USD,2025-12-19
XOM251219P00090000,2024-10-29 16:01:07+00:00,90.0,2.35,1.77,2.31,0.0,0.0,1.0,1169.0,0.2714306256103516,False,REGULAR,USD,2025-12-19
XOM251219P00095000,2024-11-06 20:34:35+00:00,95.0,2.61,2.44,2.67,0.0,0.0,2.0,2583.0,0.24811542907714845,False,REGULAR,USD,2025-12-19
XOM251219P00100000,2024-11-08 14:48:12+00:00,100.0,3.65,3.35,3.55,-0.5999999,-14.117645,2.0,2426.0,0.23847197082519528,False,REGULAR,USD,2025-12-19
XOM251219P00105000,2024-11-08 14:45:49+00:00,105.0,4.9,4.45,4.7,0.3000002,6.5217433,1.0,626.0,0.23023230712890624,False,REGULAR,USD,2025-12-19
